screen_time,social_media_hours,gaming_hours,sleep_hours,phone_pickups,mood_score,addiction_risk
5.869021545015713,7.605714451279329,4.391963650868431,6.59195090518222,112,10,Moderate
3.0279287643706345,0.4646688973455957,5.197056874649611,6.606690070459253,161,3,Low
1.2675984258454318,7.759278817295955,4.99465584480253,4.2740346640696565,197,5,Moderate
9.027259625160315,4.893225283906247,0.042397831318304435,3.1383745502484945,68,10,Moderate
1.6066536217770007,7.790044150731673,1.3966280425818254,3.543638607196925,199,3,Moderate
5.972005886473116,7.8658470864543055,2.8005773594878796,8.159642440417922,144,5,Moderate
6.856490275604059,0.10611968927893223,5.653210534109117,6.3797293070732355,18,10,Moderate
2.2697374820829905,5.473864212097255,2.640914962437608,3.732229409068673,17,3,Moderate
12.821165227024167,2.0702398528001353,3.975133706123892,4.8702664565364655,143,6,Moderate
8.107233631462636,1.4788356442042163,5.817507766587351,7.650796940166687,171,10,Low
12.632755555559434,4.783199830488681,5.531245410138701,3.5309550123115168,199,8,Moderate
11.978940032815968,5.978560881099047,3.2381527943344786,6.520506993983089,197,9,Low
4.851555574153071,1.32213551250402,0.09381844044716359,5.540408884238218,138,8,Moderate
1.0717875226068312,6.523691427638673,4.241144063085702,7.374043008245923,42,5,Low
13.041911420673536,5.208616204015556,5.489758053262685,8.100231466738796,21,2,Low
2.240331514375347,2.966546017586131,4.013047515981643,6.99553413970498,181,8,Low
4.571383308870834,4.489947406781609,2.2975612485227392,8.830272572334621,140,1,Low
10.382483775143351,1.887879357991646,1.5364099365679438,3.242601537230588,24,10,Moderate
1.3304486476732373,0.8631314159464356,0.1885751141204055,6.818462467582682,61,4,Low
12.79836416103921,1.9943378331909996,2.4622975382137784,7.533306831258292,45,7,Low
4.7667688878789845,1.2897702980320354,5.578185914055439,7.848722277386502,194,5,Low
12.32898767244033,6.429376615192916,1.119420353316215,8.355353990939866,84,10,Low
2.5871434111087535,2.8503827046157992,5.440970649274524,4.632793496307812,36,9,Moderate
11.63419195699241,6.8858446660507475,0.04171278318714422,6.064483815465394,146,5,Low
10.001668427573515,2.155298670388172,1.464753133486645,4.009746253037584,169,8,Moderate
10.139246465637312,2.909036819034352,5.830692496325764,8.774683769652668,48,2,Low
10.259517669017747,1.1846954396271991,5.986442910293651,4.60068608565171,11,2,High
6.343481173137007,0.2644058632043871,2.0704274881600977,6.806108068208182,135,2,Moderate
7.902149583122773,3.582265316584733,3.3173585344279677,6.5561803432763615,192,8,Moderate
4.089288071901196,5.825730788894877,2.2066987963155196,6.793834983561477,148,1,Low
2.959328071550583,4.065590213925749,4.174876840745291,8.15015282888232,196,4,Low
1.2156417760621299,4.096744466394248,1.3589746511876277,6.871036742456699,61,9,Low
9.982190595332057,3.0938827704042993,5.620379932420407,3.8251256648759595,194,9,Moderate
3.7179310695902776,4.331583790620527,4.174706396070493,4.371300130783798,153,10,Moderate
13.768188463282662,4.133087130168114,1.564975048982454,8.977522198547547,149,5,Low
12.705434743123297,5.0648116581861435,2.034178746292204,5.095257447675966,57,3,Moderate
12.132215794415202,3.2360650169775207,5.326620592565758,8.105570692605077,122,8,Low
11.209428464481267,5.351906037713829,3.4841197286187278,5.233696599370458,108,9,Moderate
1.065800590000843,1.2864644113399892,3.2924027361995165,7.15137118615616,198,9,Low
3.2870282848054897,0.14460290892416694,2.9633622911006077,4.072936255327972,137,8,Moderate
12.039904336424312,5.260903138402747,3.4098516200128297,3.562048606968555,124,6,Moderate
4.447630779862431,1.9519171470326686,5.838063328514673,5.358586348000562,191,8,Moderate
9.204802137964418,6.358490428333187,3.015822558631153,6.461423307758155,70,3,Low
8.43605458971938,6.148432114450472,0.2616226305266025,8.967303064784046,167,5,Low
12.485422289461367,5.981750191179311,5.718431082143719,4.984501828023082,55,5,Moderate
8.439802099220898,7.842652669728365,0.45207753603676926,4.834182115723091,169,7,Moderate
4.490173139572039,3.8822389942105255,2.236121202564296,5.368148800856833,63,10,Moderate
13.090218852540815,0.5633290467963512,1.253512305692161,7.026861100944304,160,2,Low
4.304127437906604,2.36232470735151,1.935304585431603,8.092018769548046,146,6,Low
5.673384965856817,2.348734754115947,4.856166932871082,7.8606803680750845,162,8,Moderate
12.872127183234127,4.090739190887502,3.0090977681231976,7.789771073800651,74,8,Low
10.125569404350143,6.366341355488808,5.340032050905398,5.027970941109215,101,2,Moderate
2.221765217931297,4.626241127969392,0.21565364278045251,5.793588108794761,72,6,Moderate
8.680832387397139,0.24400199951239543,0.2240891324952865,7.9356033639579495,63,5,Low
7.789162380712456,6.159948424788887,1.294926164981059,6.737342854914002,15,4,Moderate
6.347600765736821,5.596097686137551,0.8301185545068082,3.796472533457819,123,10,Moderate
5.198434148236197,6.361489558149629,1.6249935075724453,5.633828524233817,192,10,Moderate
1.3295596644009477,7.7011873174234005,5.015880723073235,7.175845236562187,138,10,Low
12.897778459144245,3.5388178378488355,1.4387241549444194,3.5632397404877505,98,8,Moderate
13.149981965416227,5.106164750746803,3.1001775445593998,6.942667971001001,78,6,Low
10.49051111530364,0.3817290215331903,3.3962232629644578,3.951878685854946,95,9,Moderate
5.44443566731322,0.7343925265075351,0.5649419296113607,4.868479856347765,199,4,Moderate
3.279293508561401,0.1372888146540019,4.580186538023465,7.841477862304677,109,1,Low
7.040759568214948,5.198189461142107,0.28835354518220235,8.694874389548316,109,2,Moderate
4.3916171034422815,0.122436322323078,5.600617848476897,6.006239303491555,78,4,Low
9.00606513706888,7.551132836486057,5.665509582751004,8.203193601330023,169,4,Low
8.481164312386426,3.1053594096521753,3.859729310654119,5.749517342949099,188,5,Moderate
9.137215711320447,6.5634147501701445,3.908908631146728,4.240106159260472,38,2,High
1.5065207200330373,4.946031074703143,2.019325289332359,6.934335812284453,102,10,Low
